Time(ns),Calculated Values(V1),Calculated Values(V2)
1.408000,2.237899,2.742589,
1.410000,2.237648,2.742911,
1.412000,2.237398,2.743233,
1.414000,2.237149,2.743556,
1.416000,2.236900,2.743878,
1.418000,2.236651,2.744200,
1.420000,2.236402,2.744522,
1.422000,2.236154,2.744845,
1.424000,2.235906,2.745167,
1.426000,2.235658,2.745489,
1.428000,2.235411,2.745811,
1.430000,2.235164,2.746132,
1.432000,2.234917,2.746454,
1.434000,2.234670,2.746776,
1.436000,2.234423,2.747098,
1.438000,2.234176,2.747419,
1.440000,2.233929,2.747741,
1.442000,2.233682,2.748062,
1.444000,2.233436,2.748384,
1.446000,2.233189,2.748705,
1.448000,2.232942,2.749026,
1.450000,2.232696,2.749348,
1.452000,2.232449,2.749669,
1.454000,2.232203,2.749990,
1.456000,2.231956,2.750311,
1.458000,2.231710,2.750632,
1.460000,2.231464,2.750953,
1.462000,2.231217,2.751274,
1.464000,2.230971,2.751595,
1.466000,2.230725,2.751916,
1.468000,2.230479,2.752236,
1.470000,2.230233,2.752557,
1.472000,2.229987,2.752877,
1.474000,2.229741,2.753198,
1.476000,2.229495,2.753518,
1.478000,2.229249,2.753839,
1.480000,2.229003,2.754159,
1.482000,2.228757,2.754479,
1.484000,2.228512,2.754800,
1.486000,2.228266,2.755120,
1.488000,2.228020,2.755440,
1.490000,2.227775,2.755760,
1.492000,2.227529,2.756080,
1.494000,2.227284,2.756400,
1.496000,2.227038,2.756720,
1.498000,2.226793,2.757039,
1.500000,2.226548,2.757359,
1.502000,2.226302,2.757679,
1.504000,2.226057,2.757998,
1.506000,2.225812,2.758318,
1.508000,2.225567,2.758637,
1.510000,2.225322,2.758957,
1.512000,2.225077,2.759276,
1.514000,2.224832,2.759595,
1.516000,2.224587,2.759915,
1.518000,2.224342,2.760234,
1.520000,2.224097,2.760553,
1.522000,2.223852,2.760872,
1.524000,2.223607,2.761191,
1.526000,2.223363,2.761510,
1.528000,2.223118,2.761829,
1.530000,2.222873,2.762148,
1.532000,2.222629,2.762466,
1.534000,2.222384,2.762785,
1.536000,2.222140,2.763104,
1.538000,2.221896,2.763422,
1.540000,2.221651,2.763741,
1.542000,2.221407,2.764059,
1.544000,2.221163,2.764378,
1.546000,2.220918,2.764696,
1.548000,2.220674,2.765014,
1.550000,2.220430,2.765332,
1.552000,2.220186,2.765651,
1.554000,2.219942,2.765969,
1.556000,2.219698,2.766287,
1.558000,2.219454,2.766605,
1.560000,2.219210,2.766923,
1.562000,2.218967,2.767240,
1.564000,2.218723,2.767558,
1.566000,2.218479,2.767876,
1.568000,2.218235,2.768194,
1.570000,2.217992,2.768511,
1.572000,2.217748,2.768829,
1.574000,2.217505,2.769146,
1.576000,2.217261,2.769464,
1.578000,2.217018,2.769781,
1.580000,2.216774,2.770098,
1.582000,2.216531,2.770415,
1.584000,2.216288,2.770733,
1.586000,2.216045,2.771050,
1.588000,2.215801,2.771367,
1.590000,2.215558,2.771684,
1.592000,2.215315,2.772001,
1.594000,2.215072,2.772318,
1.596000,2.214829,2.772634,
1.598000,2.214586,2.772951,
1.600000,2.214343,2.773268,
1.602000,2.214100,2.773585,
1.604000,2.213858,2.773901,
1.606000,2.213615,2.774218,
1.608000,2.213372,2.774534,
1.610000,2.213130,2.774850,
1.612000,2.212887,2.775167,
1.614000,2.212644,2.775483,
1.616000,2.212402,2.775799,
1.618000,2.212159,2.776115,
1.620000,2.211917,2.776432,
1.622000,2.211675,2.776748,
1.624000,2.211432,2.777064,
1.626000,2.211190,2.777379,
1.628000,2.210948,2.777695,
1.630000,2.210706,2.778011,
1.632000,2.210464,2.778327,
1.634000,2.210222,2.778642,
1.636000,2.209979,2.778958,
1.638000,2.209738,2.779274,
1.640000,2.209496,2.779589,
1.642000,2.209254,2.779905,
1.644000,2.209012,2.780220,
1.646000,2.208770,2.780535,
1.648000,2.208528,2.780851,
1.650000,2.208287,2.781166,
1.652000,2.208045,2.781481,
1.654000,2.207803,2.781796,
1.656000,2.207562,2.782111,
1.658000,2.207320,2.782426,
1.660000,2.207079,2.782741,
1.662000,2.206838,2.783056,
1.664000,2.206596,2.783370,
1.666000,2.206355,2.783685,
1.668000,2.206114,2.784000,
1.670000,2.205873,2.784314,
1.672000,2.205631,2.784629,
1.674000,2.205390,2.784943,
1.676000,2.205149,2.785258,
1.678000,2.204908,2.785572,
1.680000,2.204667,2.785886,
1.682000,2.204426,2.786201,
1.684000,2.204186,2.786515,
1.686000,2.203945,2.786829,
1.688000,2.203704,2.787143,
1.690000,2.203463,2.787457,
1.692000,2.203223,2.787771,
1.694000,2.202982,2.788085,
1.696000,2.202741,2.788399,
1.698000,2.202501,2.788712,
1.700000,2.202260,2.789026,
1.702000,2.202020,2.789340,
1.704000,2.201780,2.789653,
1.706000,2.201539,2.789967,
1.708000,2.201299,2.790280,
1.710000,2.201059,2.790594,
1.712000,2.200819,2.790907,
1.714000,2.200578,2.791220,
1.716000,2.200338,2.791534,
1.718000,2.200098,2.791847,
1.720000,2.199858,2.792160,
1.722000,2.199618,2.792473,
1.724000,2.199378,2.792786,
1.726000,2.199139,2.793099,
